issue,title,validator comment,grade,root cause (URL),size
validation-160,Two user touchpoint routers not sharing a global reentrancy guard opens the door for cross-contract reentrancy attack,Invalid,Unsatisfactory,,31
validation-161,Protocol supports stETH but doesn't consider its unique transfer logic which would lead to not only a DOS of the depositing/withdrawal channel for this collateral token but also a flaw in multiple other core protocol logic,Overinflated,Unsatisfactory,,47
validation-163,`try/catch` doesn't catch every error which may lead to silent failure,Invalid,Unsatisfactory,,58
validation-166,The function borrowerOperations.adjustCdpWithColl in the smart contract incorrectly assess a fee even when the debt does not increase,Invalid. Contract is OOS,Unsatisfactory,,34
validation-167,[H-1] User can open CDP position passing **unallowed** tokens in `TradeData.exchangeData`,Invalid,Unsatisfactory,,191
validation-168,Persistent PermitApprovals can get overridden when interacting with CDPs.,Invalid. See main invariants in readme.,Unsatisfactory,,113
validation-169,A large amount of Ether can be sent to the user who closes a CDP in 'EbtcLeverageZapRouter' contract,Invalid. Low quality report,Unsatisfactory,,59
validation-17,Unchecked return value on call in the _convertRawEthToStETH function on the ZapRouterBase contract,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,98
validation-170,[H-1] `PostCheckParams` do not validate collateral correctly.,Use lte instead of gte for decrease operations,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,135
validation-171,Position manager can make calls on behalf of a user despite an expired deadline,"Invalid, execution will fail due to permit expired.",Unsatisfactory,,183
validation-172,Unreliable Permit Handling Due to Phantom Function Vulnerability,Invalid,Unsatisfactory,,48
validation-173,Lack of Slippage Protection in Trading Operations,Invalid. The code does have slippage protection.,Unsatisfactory,,47
validation-175,Unsafe downcasting in _getOwnerAddress function can be exploited to cause DoS,Invalid,Unsatisfactory,,43
validation-176,Lack of Slippage protection in `LeverageZapRouterBase::_getSwapOperations` function could potentially force user to pay more than what they are expecting.,Invalid. The code does have slippage protection.,Unsatisfactory,,34
validation-177,"exchangeData can be maliciously used for arbitraty calls, even when DEXes are hardcoded and trusted like 1inch and 0x",Invalid. Report is not clear on impact description,Unsatisfactory,,126
validation-178,Replay Attacks possible on _permitPositionManagerApproval function,Invalid,Unsatisfactory,,58
validation-179,ATTACKER CAN WEAPONISE WRONG VALIDATION IN requireSingularMarginChange() function TO CLEAR HIS DEBT WITHOUT REPAYMENT USING adjustCdp function AND HENCE INCREASE HIS ICR TO BE ABLE TO BORROW MORE,Invalid,Unsatisfactory,,138
validation-181,_doSwapChecks should use >= rather than > when checking balance,Change > to >=,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L490-L494,46
validation-184,Unchecked Return Value in Low-Level `call` Function,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,47
validation-185,Potential False Positive Deposit Detection Due to stETH Rebasing,GPT,Unsatisfactory,,55
validation-186,`stETHMarginAmount` can be lower than the loan amount,Invalid. Low quality report,Unsatisfactory,,73
validation-187,Inaccurate stETH Deposit Calculation Due to Rebasing in _transferInitialStETHFromCaller,GPT,Unsatisfactory,,47
validation-188,Lack of Slippage Protections for Asset Conversions in ZapRouterBase,Invalid. The code does have slippage protection.,Unsatisfactory,,51
validation-19,"Overcharging users, even if unintentional, can damage the protocol's reputation and erode user trust.",GPT,Unsatisfactory,,81
validation-21,Closing/Adjusting CDPs are done with a minute leakage in accounting and  funds,Some stETH remains as dust due to stETH-shares conversion. Seems QA as report does not describes a clear impact.,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L103,84
validation-22,Users are consistently receiving less eBTC than they should for the amount of debt they're incurring.,Invalid. Fee is paid from the minted debt,Unsatisfactory,,126
validation-23,Incorrect Parameter Handling in _adjustCdpOperation function within LeverageZapRouterBase contract,Invalid,Unsatisfactory,,102
validation-24,Incorrect Parameter Handling in _openCdpOperation function within LeverageZapRouterBase contract,Invalid,Unsatisfactory,,107
validation-25,Incorrect Parameter Handling in _closeCdpOperation function within LeverageZapRouterBase contract,Invalid,Unsatisfactory,,95
validation-26,Missing Error Handling in sweepToCaller function within LeverageMacroBase contract,Invalid,Unsatisfactory,,60
validation-27,Insufficient Input Validation in sweepToken function within LeverageMacroBase contract,Invalid,Unsatisfactory,,42
validation-28,Incorrect Data Decoding in decodeFLData function within LeverageMacroBase contract,Invalid,Unsatisfactory,,52
validation-29,Add Zero Address Check and Optional Event Emission in `_doSwapChecks`,Invalid,Unsatisfactory,,60
validation-3,Unchecked return value of low-level `call()`/`delegatecall()`,GPT,Unsatisfactory,,28
validation-30, Vulnerability in `_doSwap` Function of `LeverageMacroBase` Contract Enables Unauthorized Token Transfers,Invalid,Unsatisfactory,,74
validation-31,Discrepancy Between Documentation and Implementation in closeCdp Function Regarding Collateral Return Type,GPT,Unsatisfactory,,66
validation-32,Misleading Comment and Incorrect Logic in adjustCdpWithWrappedEth Function Handling WETH vs WstETH,Invalid,Unsatisfactory,,53
validation-33,Any Ether sent beyond the specified _ethMarginBalance is lost.,User mistake,Unsatisfactory,,101
validation-34,"doOperation Function Always Reverts, Rendering It Unusable in LeverageZapRouterBase.sol",Invalid,Unsatisfactory,,65
validation-35,Private _sweepEbtc() Function Transfers Balance to msg.sender Without Proper Access Control,Invalid,Unsatisfactory,,83
validation-36,Missing Success Check in _openCdpForCallback Leads to Potential Fee Transfer Without CDP Creation,Invalid,Unsatisfactory,,94
validation-37,Lack of Minimum Deposit Check in _depositRawEthIntoLido May Lead to Loss of Funds,Invalid,Unsatisfactory,,35
validation-39,Reentrancy vulnerability,Invalid,Unsatisfactory,,98
validation-40,CDP operations can be performed even when the permit is expired,"Invalid, execution will fail due to permit expired.",Unsatisfactory,,86
validation-42,User can send eth to router,Invalid,Unsatisfactory,,43
validation-43,The leverage router doesn't support users to pay eBTC debt back with their own assets,Invalid. Feature request,Unsatisfactory,,31
validation-44,Owner can't change `zapFeeBPS` and `zapFeeReceiver`,Invalid,Unsatisfactory,,49
validation-45,`flashLoan` function's result is not checked.,"No check for flashloan success. QA at best, if it fails the revert is bubbled up.",Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L185C8-L198C15,45
validation-46,Relying on the difference in the contract's stETH balance before and after the `_closeCdpOperation` could potentially allow excess withdrawal of `stETH`,Invalid,Unsatisfactory,,64
validation-49,Incorrect comparison logic in `_doCheckValueType` leading to incorrect post-operation checks,Comparison operator is inverted for lte and gte cases,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L277-L290,61
validation-50,Incorrect comparison logic in `_doCheckValueType` leading to incorrect post-operation checks,Comparison operator is inverted for lte and gte cases,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L277-L290,61
validation-52,Potential manipulation of CDP queue position through unvalidated upperHint and lowerHint parameters,Invalid,Unsatisfactory,,73
validation-54,ZapRouterBase._permitPositionManagerApproval() will bypass an expired permit.,"Invalid, execution will fail due to permit expired.",Unsatisfactory,,143
validation-55,The conversion path from ETH to stETH can be suboptimal in `ZapRouterBase` and cause loss of funds when depositing especially in a a 1:1 ratio,Invalid,Unsatisfactory,,86
validation-56,"LeverageZapRouterBase.sol :: _adjustCdpOperation() is using the amount of stETH instead of ETH, resulting in an incorrect calculation of the shares needed to modify the collateral.",eth and stETH are 1:1,Unsatisfactory,,130
validation-58,Front-Running in Position Manager Approval,"Invalid, execution will fail due to permit expired.",Unsatisfactory,,82
validation-59,Position Manager Approval Remains Active After Operations,Invalid,Unsatisfactory,,47
validation-60,"Fees can be bypassed when sweeping tokens, leading to a loss of protocol revenue",Invalid,Unsatisfactory,,86
validation-61,Potential for token dust accumulation violates contract invariant,Invalid. ,Unsatisfactory,,114
validation-62,Inconsistent Token Sweeping May Leave Residual Tokens in ZapRouter,GPT,Unsatisfactory,,73
validation-63,Inconsistent Fee Assessment in CDP Operations,Invalid. Opening a CDP is debt increase,Unsatisfactory,,90
validation-64,Reentrancy Attack in `flashLoan` Function,Low quality report,Unsatisfactory,,129
validation-66,Retention of non-stETH tokens in ZapRouter contract,GPT,Unsatisfactory,,63
validation-67,The function _openCdp does not use _stEthMarginAmount causing the token transfer from user is useless,Low quality,Unsatisfactory,,108
validation-69,Fee calculation in `LeverageZapRouterBase` could lead to excessive fees being charged and inaccurate CDP debt,Invalid. Fee is paid from the minted debt,Unsatisfactory,,58
validation-7,Precision Loss in stETH to wstETH Conversion Leading to Fund Loss,OOS see Readme,Unsatisfactory,,71
validation-71,Excessive Approval Amount in LeverageZapRouterBase Contract,Invalid,Unsatisfactory,,57
validation-72,Fixed liquidation reward will cause bad debt,Invalid,Unsatisfactory,,39
validation-73,"An invariant is broken which relates to Position Manager Permit not being revoked after operations, allowing unauthorized access to user CDPs",Invalid,Unsatisfactory,,79
validation-74,_doSwapChecks might fail to validate the expectedMinOut constraint.,Use balance diff instead of just balanceOf,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L491C20-L492C54,702
validation-75,Wrong slippage control for the collateral shares for a cdp due to logical error in LeverageZapRouterBase._getPostCheckParams.,Use lte instead of gte for decrease operations,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,739
validation-76,`Operator.gte` is used for both increase or decrease CDP adjustments,Use lte instead of gte for decrease operations,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,71
validation-77,Leverage router cannot perform debt decrease and collateral increase,Invalid. Feature request,Unsatisfactory,,78
validation-78,Unexpected Ether Balance (SWC-132) in the _convertWrappedEthToStETH function of the ZapRouterBase contract affecting the EbtcLeverageZapRouter contract,Invalid,Unsatisfactory,,154
validation-79,Weak Sources of Randomness from Chain Attributes in EbtcLeverageZapRouter contract,Invalid,Unsatisfactory,,128
validation-80,Block Values Used as a Proxy for Time in EbtcLeverageZapRouter contract,Invalid,Unsatisfactory,,96
validation-81,Unprotected Ether Withdrawal Found (transfer/send) in the ZapRouterBase contract _transferInitialStETHFromCaller function affecting the EbtcLeverageZapRouter contract,Invalid,Unsatisfactory,,217
validation-82, an absence of a repayment verification ,Invalid,Unsatisfactory,,41
validation-83,Low-level call return value is not checked ,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,28
validation-84,Weak sources of randomness from chain attributes in LeverageMacroBase contract,Invalid,Unsatisfactory,,225
validation-85,Block values used as a proxy for time found in LeverageMacroBase contract,Invalid,Unsatisfactory,,146
validation-87,Bad Actor can Completely Sweep Off StEth in Contract,Invalid,Unsatisfactory,,103
validation-88,Sunnyboy95 - Security Enhancements and Best Practices Implementation for `EbtcLeverageZapRouter` Contract,Invalid,Unsatisfactory,,284
validation-89,Users Will Be Able to open CDPs with insufficient collateral due to Incorrect Collateral Value Handling in CDP Opening Process,Invalid. Code does not uses _ethMarginBalance again.,Unsatisfactory,,47
validation-9,Lack of Explanation on Emitting Events for Revert Reasons on the EbtcLeverageZapRouter contract,Invalid,Unsatisfactory,,261
validation-90,Potential Collateral Requirement Oversight in CDP Adjustment Functions,Invalid. If an adjust of collateral is valid or invalid is task of borrow operations contract,Unsatisfactory,,25
validation-91,Incorrect conversion to eth to stEth. ,Invalid. ETH and stETH are 1:1,Unsatisfactory,,54
validation-92,Not checking return value on flashLoan contract,"No check for flashloan success. QA at best, if it fails the revert is bubbled up.",Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L185C8-L198C15,60
validation-93,LeverageMacroBase::_doSwapChecks Misleading Balance Calculation Compromises Slippage Protection,Use balance diff instead of just balanceOf,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L491C20-L492C54,59
validation-95,Eth could be stuck in the contract,User mistake,Unsatisfactory,,54
validation-96,Incorrect parameters used in  slippage checks while openingCdp.,Low quality report,Unsatisfactory,,31
validation-97,Potential Misinterpretation of Liquidator Rewards in Smart Contract Logic,Invalid,Unsatisfactory,,44
validation-98,Wrong `Operator` used for `expectedCollateral`,Use lte instead of gte for decrease operations,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,51
validation-99,Incorrect Parameter Order in Struct Initialization Leading to Financial Miscalculations,Invalid. Order here is not important as they are pre-fixed with the fields names,Unsatisfactory,,46
